Dicofre|HOUR|Hourly Average Traffic
"010706"|8|215.313238
"010706"|9|561.410413
"010706"|10|277.108823
"010706"|11|253.689477
"010706"|12|184.186902
"010706"|13|220.125345
"010706"|14|204.006690
"010706"|15|361.250869
"010706"|16|220.055512
"010706"|17|304.483238
"010706"|18|595.298314
"010706"|19|410.940005
"010706"|20|323.890379
"010706"|21|135.869027
"010706"|22|156.863274
"010706"|23|176.505306
"010901"|0|31.644959
"010901"|1|3.992671
"010901"|3|8.839010
"010901"|6|8.435889
"010901"|7|160.539773
"010901"|8|239.993044
"010901"|9|110.407589
"010901"|10|229.864641
"010901"|11|51.715024
"010901"|12|53.238582
"010901"|13|525.509062
"010901"|14|134.953478
"010901"|15|424.634086
"010901"|16|247.981350
"010901"|17|235.280091
"010901"|18|109.628026
"010901"|19|124.386385
"010901"|20|42.502535
"010901"|21|63.515191
"010901"|22|67.979157
"010901"|23|89.077773
"010902"|0|9.354242
"010902"|1|22.273922
"010902"|2|9.354242
"010902"|4|9.097486
"010902"|5|12.986297
"010902"|7|125.295493
"010902"|8|51.666227
"010902"|9|113.526357
"010902"|10|84.192342
"010902"|11|52.684923
"010902"|12|55.246931
"010902"|13|84.864071
"010902"|14|43.692915
"010902"|15|73.916555
"010902"|16|49.269376
"010902"|17|53.271992
"010902"|18|171.973716
"010902"|19|150.857278
"010902"|20|99.789223
"010902"|21|55.259422
"010902"|22|21.974142
"010902"|23|37.322593
"010904"|1|11.640433
"010904"|7|141.910857
"010904"|8|63.619132
"010904"|9|74.594261
"010904"|10|90.263614
"010904"|11|62.272967
"010904"|12|44.249920
"010904"|13|78.661472
"010904"|14|44.593341
"010904"|15|64.974869
"010904"|16|42.833157
"010904"|17|42.931277
"010904"|18|130.457092
"010904"|19|106.801693
"010904"|20|67.549932
"010904"|21|58.705931
"010904"|22|32.345040
"010904"|23|38.183206
"010907"|0|151.925396
"010907"|1|23.320480
"010907"|3|50.103663
"010907"|6|101.570730
"010907"|7|99.129153
"010907"|8|289.144286
"010907"|9|84.736401
"010907"|10|73.726488
"010907"|11|44.769845
"010907"|12|521.476278
"010907"|13|868.482507
"010907"|14|501.795344
"010907"|15|307.992345
"010907"|16|85.563571
"010907"|17|86.385036
"010907"|18|764.943684
"010907"|19|883.034989
"010907"|20|270.296227
"010907"|21|60.697139
"010907"|22|65.563179
"010907"|23|369.955909
"010908"|0|9.113214
"010908"|8|16.490548
"010908"|9|12.228832
"010908"|10|12.951853
"010908"|11|14.751511
"010908"|12|17.484465
"010908"|13|20.741529
"010908"|14|17.095802
"010908"|15|19.915581
"010908"|16|12.949958
"010908"|17|21.236909
"010908"|18|15.274359
"010908"|19|32.883221
"010908"|20|51.291194
"010908"|21|12.477627
"010908"|22|5.707441
"010908"|23|23.135706
"010913"|0|135.856887
"010913"|1|29.508034
"010913"|3|63.398548
"010913"|7|48.592061
"010913"|8|96.549488
"010913"|9|133.183424
"010913"|10|113.324842
"010913"|11|52.374886
"010913"|12|218.649284
"010913"|13|391.060154
"010913"|14|319.151499
"010913"|15|819.198990
"010913"|16|92.251958
"010913"|17|77.550411
"010913"|18|1077.420522
"010913"|19|624.510929
"010913"|20|221.592592
"010913"|21|76.955753
"010913"|22|103.085729
"010913"|23|302.905840
"010914"|1|17.227832
"010914"|5|25.244152
"010914"|7|172.983830
"010914"|8|106.566266
"010914"|9|145.496197
"010914"|10|138.500961
"010914"|11|100.234825
"010914"|12|146.504585
"010914"|13|94.705015
"010914"|14|49.467220
"010914"|15|67.801377
"010914"|16|90.227121
"010914"|17|73.537942
"010914"|18|266.348560
"010914"|19|138.539048
"010914"|20|63.648125
"010914"|21|52.798889
"010914"|22|33.668542
"010914"|23|30.148253
"010916"|0|23.665718
"010916"|1|25.257473
"010916"|2|18.273343
"010916"|3|17.715005
"010916"|4|18.057844
"010916"|5|37.834784
"010916"|6|21.099320
"010916"|7|385.856022
"010916"|8|204.459662
"010916"|9|186.421408
"010916"|10|325.986456
"010916"|11|315.157627
"010916"|12|357.282802
"010916"|13|488.497261
"010916"|14|104.879490
"010916"|15|496.931111
"010916"|16|127.790962
"010916"|17|437.311328
"010916"|18|691.286804
"010916"|19|267.331522
"010916"|20|135.558724
"010916"|21|68.959710
"010916"|22|81.634974
"010916"|23|60.467086
"010917"|0|35.865980
"010917"|1|42.388067
"010917"|2|25.730899
"010917"|3|25.439439
"010917"|4|26.594278
"010917"|5|55.723701
"010917"|6|38.142661
"010917"|7|440.515845
"010917"|8|215.344360
"010917"|9|288.346643
"010917"|10|236.565890
"010917"|11|184.845629
"010917"|12|137.117809
"010917"|13|178.521514
"010917"|14|123.485217
"010917"|15|819.176347
"010917"|16|185.890482
"010917"|17|479.400902
"010917"|18|918.014013
"010917"|19|367.348585
"010917"|20|303.348543
"010917"|21|137.035320
"010917"|22|115.285864
"010917"|23|119.096831
"010918"|0|17.529529
"010918"|1|53.521707
"010918"|2|14.751194
"010918"|3|17.511129
"010918"|4|18.307567
"010918"|5|406.901127
"010918"|6|60.944617
"010918"|7|249.293080
"010918"|8|86.115222
"010918"|9|188.159210
"010918"|10|113.483261
"010918"|11|106.291659
"010918"|12|64.132999
"010918"|13|76.539563
"010918"|14|103.510697
"010918"|15|183.380580
"010918"|16|62.958055
"010918"|17|142.207611
"010918"|18|202.752694
"010918"|19|138.112393
"010918"|20|125.889825
"010918"|21|54.149920
"010918"|22|106.804219
"010918"|23|35.261452
"010919"|0|3.516974
"010919"|1|1.849892
"010919"|6|1.625631
"010919"|7|66.340508
"010919"|8|34.940167
"010919"|9|21.370747
"010919"|10|24.231942
"010919"|11|25.359627
"010919"|12|59.232160
"010919"|13|36.936733
"010919"|14|48.580798
"010919"|15|22.115274
"010919"|16|26.994292
"010919"|17|26.914047
"010919"|18|27.685145
"010919"|19|18.054120
"010919"|20|24.983378
"010919"|21|16.008132
"010919"|22|29.827853
"010919"|23|14.857595
"010921"|0|58.167720
"010921"|1|48.773761
"010921"|2|15.657833
"010921"|3|34.986570
"010921"|4|18.417494
"010921"|5|125.270073
"010921"|6|35.742236
"010921"|7|228.199859
"010921"|8|98.432836
"010921"|9|272.387768
"010921"|10|183.456314
"010921"|11|149.029084
"010921"|12|242.450080
"010921"|13|210.804736
"010921"|14|223.662162
"010921"|15|246.324717
"010921"|16|248.647278
"010921"|17|268.446454
"010921"|18|343.231405
"010921"|19|253.685047
"010921"|20|150.244076
"010921"|21|67.846906
"010921"|22|84.760477
"010921"|23|95.613907
"010922"|5|30.273510
"010922"|6|43.593998
"010922"|7|47.486000
"010922"|8|137.642654
"010922"|9|166.352206
"010922"|10|201.256751
"010922"|11|166.157159
"010922"|12|286.744793
"010922"|13|92.014079
"010922"|14|60.781436
"010922"|15|67.987455
"010922"|16|77.868665
"010922"|17|72.928060
"010922"|18|107.744923
"010922"|19|85.783297
"010922"|20|47.525367
"010922"|21|37.560053
"010922"|22|27.288748
"010922"|23|32.433348
"010924"|0|13.659382
"010924"|1|13.774538
"010924"|3|15.246611
"010924"|7|106.644709
"010924"|8|33.342366
"010924"|9|17.246481
"010924"|10|16.836719
"010924"|11|39.175960
"010924"|12|44.195788
"010924"|13|33.127408
"010924"|14|68.580961
"010924"|15|56.528960
"010924"|16|45.732156
"010924"|17|60.588198
"010924"|18|131.990473
"010924"|19|73.214058
"010924"|20|54.381307
"010924"|21|31.783925
"010924"|22|70.301579
"010924"|23|33.279030
"010925"|0|42.093021
"010925"|1|29.160304
"010925"|2|16.003256
"010925"|3|30.040806
"010925"|4|15.815378
"010925"|5|33.133778
"010925"|6|14.287119
"010925"|7|159.645586
"010925"|8|94.022984
"010925"|9|144.705101
"010925"|10|216.984744
"010925"|11|231.695289
"010925"|12|240.564800
"010925"|13|274.152849
"010925"|14|170.831321
"010925"|15|218.389621
"010925"|16|112.524733
"010925"|17|228.888340
"010925"|18|125.552791
"010925"|19|140.036200
"010925"|20|58.786097
"010925"|21|39.305701
"010925"|22|83.552306
"010925"|23|83.972928
"010926"|0|114.288387
"010926"|1|53.202620
"010926"|2|33.753386
"010926"|3|89.659588
"010926"|4|39.264003
"010926"|5|82.266120
"010926"|6|42.133109
"010926"|7|238.866935
"010926"|8|283.469132
"010926"|9|445.601254
"010926"|10|330.078324
"010926"|11|409.758109
"010926"|12|497.638299
"010926"|13|471.857719
"010926"|14|510.894124
"010926"|15|333.250894
"010926"|16|455.884519
"010926"|17|537.867866
"010926"|18|447.856537
"010926"|19|643.907571
"010926"|20|321.608941
"010926"|21|127.013151
"010926"|22|164.097736
"010926"|23|222.673034
"010932"|5|38.938781
"010932"|6|176.882016
"010932"|7|289.534442
"010932"|8|190.245736
"010932"|9|328.077574
"010932"|10|218.498151
"010932"|11|240.385610
"010932"|12|229.422675
"010932"|13|178.572168
"010932"|14|183.754018
"010932"|15|174.412091
"010932"|16|244.246070
"010932"|17|163.080395
"010932"|18|294.773911
"010932"|19|423.336807
"010932"|20|223.718414
"010932"|21|124.118566
"010932"|22|69.764836
"010932"|23|49.494544
"010933"|0|26.109759
"010933"|1|17.493976
"010933"|3|14.451968
"010933"|5|7.019458
"010933"|6|28.780021
"010933"|7|32.633555
"010933"|8|177.026890
"010933"|9|108.251267
"010933"|10|67.553475
"010933"|11|96.224158
"010933"|12|385.880668
"010933"|13|389.406190
"010933"|14|149.566207
"010933"|15|72.432350
"010933"|16|50.691226
"010933"|17|335.784724
"010933"|18|164.922031
"010933"|19|130.407873
"010933"|20|56.213977
"010933"|21|45.003254
"010933"|22|45.902250
"010933"|23|27.963635
"010934"|0|5.977123
"010934"|1|9.919254
"010934"|5|6.778867
"010934"|6|30.793904
"010934"|7|11.900974
"010934"|8|309.550524
"010934"|9|232.620367
"010934"|10|127.469345
"010934"|11|128.313706
"010934"|12|330.363911
"010934"|13|503.705812
"010934"|14|185.245539
"010934"|15|70.263161
"010934"|16|112.521209
"010934"|17|209.859886
"010934"|18|89.907227
"010934"|19|190.780504
"010934"|20|52.779277
"010934"|21|27.142106
"010934"|22|20.752124
"010934"|23|6.954665
"010935"|0|53.026037
"010935"|1|65.316495
"010935"|2|33.527954
"010935"|3|87.751790
"010935"|4|43.787362
"010935"|5|91.735773
"010935"|6|82.861645
"010935"|7|263.151212
"010935"|8|205.917256
"010935"|9|376.718172
"010935"|10|308.120749
"010935"|11|394.685156
"010935"|12|211.135493
"010935"|13|215.822532
"010935"|14|232.570885
"010935"|15|280.540128
"010935"|16|327.988588
"010935"|17|348.304299
"010935"|18|395.627771
"010935"|19|477.124967
"010935"|20|300.585032
"010935"|21|166.040968
"010935"|22|163.640162
"010935"|23|81.846120
"010936"|0|36.101949
"010936"|1|55.476962
"010936"|2|28.258780
"010936"|3|58.020820
"010936"|4|28.950406
"010936"|5|60.654685
"010936"|6|55.074302
"010936"|7|155.712255
"010936"|8|70.332717
"010936"|9|98.097252
"010936"|10|60.103595
"010936"|11|59.391441
"010936"|12|40.374874
"010936"|13|35.773505
"010936"|14|36.878844
"010936"|15|89.884584
"010936"|16|57.223397
"010936"|17|119.562934
"010936"|18|51.903559
"010936"|19|65.481858
"010936"|20|70.637475
"010936"|21|53.269442
"010936"|22|141.017563
"010936"|23|50.867698
"011301"|0|10.016748
"011301"|1|3.479990
"011301"|4|3.795861
"011301"|5|7.987140
"011301"|6|46.927342
"011301"|7|54.293552
"011301"|8|38.211150
"011301"|9|54.149904
"011301"|10|130.196094
"011301"|11|17.239309
"011301"|12|54.034059
"011301"|13|50.733243
"011301"|14|15.434441
"011301"|15|22.664726
"011301"|16|39.724088
"011301"|17|39.247578
"011301"|18|37.480553
"011301"|19|27.699358
"011301"|20|31.208695
"011301"|21|35.888068
"011301"|22|23.715828
"011301"|23|28.173551
"011302"|6|9.189237
"011302"|7|6.702067
"011302"|8|59.997887
"011302"|9|37.107056
"011302"|10|38.301723
"011302"|11|43.130844
"011302"|12|56.629743
"011302"|13|27.698015
"011302"|14|14.164455
"011302"|15|11.276284
"011302"|16|23.028154
"011302"|17|8.209110
"011302"|18|11.447390
"011302"|19|26.458597
"011302"|20|38.307426
"011302"|21|11.092894
"011302"|22|7.014005
"011302"|23|8.978646
"011303"|8|14.153107
"011303"|9|13.171821
"011303"|10|31.723604
"011303"|11|3.486911
"011303"|12|7.345993
"011303"|13|5.477507
"011303"|14|5.279914
"011303"|15|3.887463
"011303"|16|3.619276
"011303"|17|2.811733
"011303"|18|2.352869
"011303"|19|8.469183
"011303"|20|14.055682
"011303"|21|1.309574
"011303"|22|2.102569
"011304"|0|6.314768
"011304"|1|20.679822
"011304"|2|6.416128
"011304"|3|6.094027
"011304"|5|11.537093
"011304"|6|6.642500
"011304"|7|197.641975
"011304"|8|40.573536
"011304"|9|158.774677
"011304"|10|57.132485
"011304"|11|19.106480
"011304"|12|63.120646
"011304"|13|47.703693
"011304"|14|102.058897
"011304"|15|62.089020
"011304"|16|18.538860
"011304"|17|29.516217
"011304"|18|15.877580
"011304"|19|113.192799
"011304"|20|94.059290
"011304"|21|38.345854
"011304"|22|6.360943
"011304"|23|4.450858
"011305"|1|9.044532
"011305"|4|12.463229
"011305"|6|201.389318
"011305"|7|30.164188
"011305"|8|139.810571
"011305"|9|133.438901
"011305"|10|170.789778
"011305"|11|91.056158
"011305"|12|141.341054
"011305"|13|86.255470
"011305"|14|34.210603
"011305"|15|54.105197
"011305"|16|70.847705
"011305"|17|55.990037
"011305"|18|47.465229
"011305"|19|91.130405
"011305"|20|116.549588
"011305"|21|32.577188
"011305"|22|151.993689
"011305"|23|16.789755
"011310"|0|1.867732
"011310"|3|1.886823
"011310"|9|111.536551
"011310"|10|14.062661
"011310"|11|24.875820
"011310"|12|25.535092
"011310"|13|11.063331
"011310"|14|3.297354
"011310"|15|4.139358
"011310"|16|15.902871
"011310"|17|16.122298
"011310"|18|5.674851
"011310"|19|4.642924
"011310"|20|3.691331
"011310"|21|2.037571
"011310"|22|1.603676
"011315"|6|69.356954
"011315"|8|44.568447
"011315"|9|86.430928
"011315"|10|129.463852
"011315"|11|178.306604
"011315"|12|61.358015
"011315"|13|77.529545
"011315"|14|58.524886
"011315"|15|109.296955
"011315"|16|132.376287
"011315"|17|47.854165
"011315"|18|32.343060
"011315"|19|120.849610
"011315"|20|55.675350
"011315"|21|117.866075
"011315"|22|45.537891
"011318"|0|41.378431
"011318"|1|6.113061
"011318"|2|9.897337
"011318"|3|9.038916
"011318"|4|8.422723
"011318"|5|8.002011
"011318"|6|202.444941
"011318"|7|120.221405
"011318"|8|53.336828
"011318"|9|227.309397
"011318"|10|153.211110
"011318"|11|137.200713
"011318"|12|166.924595
"011318"|13|90.013068
"011318"|14|108.985442
"011318"|15|135.981075
"011318"|16|120.550749
"011318"|17|67.188424
"011318"|18|101.510382
"011318"|19|74.032418
"011318"|20|53.479189
"011318"|21|92.267485
"011318"|22|113.832119
"011318"|23|23.457835
"011319"|0|6.771063
"011319"|1|3.347140
"011319"|4|2.609888
"011319"|5|4.728511
"011319"|6|3.894570
"011319"|7|216.216885
"011319"|8|50.141700
"011319"|9|24.204916
"011319"|10|22.660738
"011319"|11|12.762217
"011319"|12|17.153028
"011319"|13|14.837473
"011319"|14|10.694071
"011319"|15|16.805375
"011319"|16|14.007797
"011319"|17|13.006783
"011319"|18|43.268260
"011319"|19|93.316826
"011319"|20|100.814477
"011319"|21|29.604562
"011319"|22|6.803056
"011319"|23|3.297374
"011320"|0|89.276965
"011320"|1|7.786161
"011320"|2|11.701942
"011320"|3|9.440437
"011320"|4|8.796319
"011320"|5|13.078140
"011320"|6|296.251520
"011320"|7|155.570000
"011320"|8|113.083778
"011320"|9|321.777871
"011320"|10|159.105552
"011320"|11|78.576669
"011320"|12|224.675019
"011320"|13|76.851455
"011320"|14|76.099512
"011320"|15|82.915240
"011320"|16|74.686425
"011320"|17|97.233378
"011320"|18|77.106832
"011320"|19|126.034230
"011320"|20|170.920995
"011320"|21|192.236463
"011320"|22|230.026586
"011320"|23|144.293686
"011321"|0|4.319741
"011321"|1|15.422634
"011321"|2|4.477652
"011321"|3|3.814426
"011321"|5|2.403755
"011321"|6|3.705643
"011321"|7|128.207885
"011321"|8|72.017912
"011321"|9|136.049041
"011321"|10|94.716731
"011321"|11|97.848632
"011321"|12|164.183505
"011321"|13|132.901349
"011321"|14|125.228633
"011321"|15|89.446015
"011321"|16|108.825196
"011321"|17|141.503986
"011321"|18|126.283127
"011321"|19|112.115007
"011321"|20|71.926675
"011321"|21|98.610113
"011321"|22|17.636897
"011321"|23|2.921352
"011322"|0|0.871607
"011322"|1|1.016215
"011322"|2|1.436831
"011322"|3|1.378064
"011322"|5|1.442774
"011322"|7|77.533415
"011322"|8|18.904630
"011322"|9|36.575804
"011322"|10|4.799782
"011322"|11|8.194427
"011322"|12|23.351147
"011322"|13|24.782696
"011322"|14|18.098393
"011322"|15|25.759952
"011322"|16|68.276551
"011322"|17|77.041485
"011322"|18|51.541034
"011322"|19|64.088215
"011322"|20|71.652048
"011322"|21|74.875673
"011322"|22|6.975498
"011322"|23|1.712840
"011601"|0|21.375859
"011601"|1|15.825902
"011601"|2|17.840050
"011601"|3|5.382638
"011601"|4|8.848993
"011601"|5|9.085766
"011601"|6|175.436105
"011601"|7|427.037321
"011601"|8|105.670175
"011601"|9|120.451119
"011601"|10|129.944134
"011601"|11|169.560979
"011601"|12|211.621320
"011601"|13|256.942814
"011601"|14|139.456092
"011601"|15|115.475731
"011601"|16|141.343961
"011601"|17|167.499476
"011601"|18|199.290187
"011601"|19|247.291950
"011601"|20|266.745213
"011601"|21|96.521269
"011601"|22|75.353770
"011601"|23|32.971418
"011901"|8|11.385669
"011901"|9|4.072032
"011901"|10|2.708897
"011901"|11|1.721967
"011901"|12|3.698949
"011901"|13|6.295136
"011901"|14|8.266916
"011901"|15|1.322773
"011901"|16|8.843367
"011901"|17|2.298001
"011901"|18|0.792925
"011901"|19|0.530420
"011901"|20|0.075106
"011902"|0|3.730233
"011902"|7|5.633353
"011902"|8|198.187008
"011902"|9|399.977901
"011902"|10|104.627160
"011902"|11|46.697502
"011902"|12|41.550787
"011902"|13|32.348098
"011902"|14|31.985834
"011902"|15|19.759673
"011902"|16|32.410285
"011902"|17|19.611608
"011902"|18|4.136916
"011902"|19|13.400805
"011902"|20|17.923675
"011902"|21|8.072465
"011902"|22|2.850731
"011902"|23|4.189232
"011903"|10|4.506806
"011903"|16|17.767672
"011903"|17|5.789190
"011903"|18|17.865983
"011903"|19|11.227719
"011905"|8|12.929216
"011905"|9|8.390978
"011905"|10|4.262323
"011905"|11|2.068053
"011905"|12|2.710700
"011905"|13|3.590035
"011905"|14|2.830071
"011905"|16|1.955125
"011905"|17|0.578048
"011905"|18|0.647963
"011905"|19|0.311154
"011906"|0|51.987582
"011906"|1|11.768577
"011906"|5|19.972510
"011906"|6|101.881237
"011906"|7|87.323125
"011906"|8|28.332600
"011906"|9|179.626245
"011906"|10|115.786329
"011906"|11|67.945432
"011906"|12|104.216498
"011906"|13|72.625890
"011906"|14|22.497998
"011906"|15|37.875227
"011906"|16|65.706705
"011906"|17|45.694445
"011906"|18|52.392171
"011906"|19|70.710834
"011906"|20|84.123321
"011906"|21|78.934642
"011906"|22|62.440179
"011906"|23|57.769658
"011907"|0|6.239964
"011907"|1|1.351327
"011907"|8|1.363940
"011907"|9|4.038359
"011907"|10|6.763346
"011907"|11|1.913242
"011907"|12|5.989556
"011907"|13|9.426078
"011907"|14|3.210183
"011907"|15|1.704375
"011907"|16|11.383755
"011907"|17|14.032369
"011907"|18|8.126476
"011907"|19|10.924479
"011907"|20|4.560815
"011907"|21|6.371302
"011907"|22|16.945741
"011907"|23|1.370420
"011910"|0|11.447252
"011910"|1|3.565270
"011910"|5|10.152646
"011910"|6|51.786936
"011910"|7|40.569746
"011910"|8|15.537987
"011910"|9|514.550490
"011910"|10|219.042867
"011910"|11|55.639442
"011910"|12|70.223151
"011910"|13|49.615648
"011910"|14|23.850143
"011910"|15|30.278246
"011910"|16|39.942182
"011910"|17|26.036406
"011910"|18|21.128885
"011910"|19|35.603689
"011910"|20|23.606468
"011910"|21|51.427551
"011910"|22|41.058456
"011910"|23|26.248770
"110501"|0|339.891760
"110501"|1|206.184823
"110501"|2|196.872556
"110501"|3|102.972870
"110501"|4|59.113170
"110501"|5|68.413482
"110501"|6|102.650109
"110501"|7|328.093034
"110501"|8|354.236715
"110501"|9|533.512793
"110501"|10|346.227449
"110501"|11|594.466899
"110501"|12|682.951365
"110501"|13|949.253504
"110501"|14|982.426213
"110501"|15|772.057445
"110501"|16|840.088395
"110501"|17|1118.571793
"110501"|18|853.345524
"110501"|19|743.522938
"110501"|20|832.126945
"110501"|21|471.076376
"110501"|22|303.084996
"110501"|23|172.976252
"110506"|0|152.063968
"110506"|1|101.834084
"110506"|2|114.499344
"110506"|3|62.356197
"110506"|4|63.811355
"110506"|5|187.796171
"110506"|6|248.427738
"110506"|7|857.626768
"110506"|8|2003.051371
"110506"|9|2255.952371
"110506"|10|1753.734370
"110506"|11|1581.082617
"110506"|12|1371.593819
"110506"|13|1362.296978
"110506"|14|1340.227088
"110506"|15|1894.561288
"110506"|16|2054.655570
"110506"|17|2421.975073
"110506"|18|2055.383149
"110506"|19|1503.043054
"110506"|20|1570.653987
"110506"|21|978.836006
"110506"|22|650.239864
"110506"|23|361.714451
"110507"|0|426.390210
"110507"|1|395.805868
"110507"|2|97.673509
"110507"|3|82.944506
"110507"|4|37.400117
"110507"|5|86.872240
"110507"|6|234.855404
"110507"|7|830.860198
"110507"|8|1615.453996
"110507"|9|1772.563367
"110507"|10|1140.053749
"110507"|11|1449.333941
"110507"|12|1667.409834
"110507"|13|2435.975011
"110507"|14|1374.851393
"110507"|15|1879.565245
"110507"|16|2136.918480
"110507"|17|2546.904624
"110507"|18|2666.440595
"110507"|19|2524.984401
"110507"|20|1308.108791
"110507"|21|587.109630
"110507"|22|827.076865
"110507"|23|754.846988
"110508"|0|231.891044
"110508"|1|177.201927
"110508"|2|196.287781
"110508"|3|99.605608
"110508"|4|25.475648
