parish_name,parish_id,disability_rate_perc_of_resident_population,population_density(no/km2),mean_age_of_residents_in_yrs,employed_or_student_res_population,avg_commute_time,no_of_children_less_than_6_yrs,percentage_daily_car_usage,total_perc_activity_rate,male_perc_activity_rate,female_perc_activity_rate
São Cristóvão e São Lourenço,110638,8.3,20808.63,45.97,688,24.2,42,27.53,47.8,55.26,40.24
São Domingos de Benfica,110639,6.7,7788.03,43.5,21017,21.18,2269,59.27,47.88,51.2,45.16
São Francisco Xavier,110640,6.5,3723.65,42.49,5155,20.82,728,74.49,46,49.95,42.69
São João,110641,7.6,11315.37,45.85,8176,25.65,922,39.58,47.03,51.47,43.43
São João de Brito,110642,10.2,5896.24,49.22,6395,20.76,643,56.06,42.65,46.31,39.77
São João de Deus,110643,7.8,11611.14,48.78,5830,19.06,645,50.35,45.95,49.83,43
São Jorge de Arroios,110644,8,15177.55,47.77,10897,21.18,1106,34.98,49.98,54.04,46.56
São José,110645,8.1,9892.39,47.37,1602,21.45,155,25.51,52.73,56.91,49
São Mamede,110646,7.7,9808.75,46.56,3402,18.79,417,47.83,47.69,52.84,43.73
São Miguel,110647,3.7,34474.2,44.16,735,23.15,57,22.61,43.11,45.82,40.86
São Nicolau,131213,9,11729.94,41.5,871,20.55,117,25.78,43.07,49.05,38.35
São Nicolau,110648,6.8,4472.16,49.16,853,28.01,54,20.56,64.91,77.76,47.09
São Paulo,110649,7.6,8047.34,45.08,1600,23.04,162,26.45,52.13,55.98,48.33
São Sebastião da Pedreira,110650,7.6,5422.72,47.54,4096,17.5,453,50.7,48.86,53.95,44.65
São Vicente de Fora,110651,5.2,13603.2,46.68,1912,24.93,211,29.75,47.84,52.94,43.72
Sé,131214,9.7,9788.89,43.08,1547,20.5,189,27.83,40.43,46.36,35.28
Sé,110652,7.5,9711.13,47.85,591,22.58,57,44.16,51.43,56.29,46.93
Socorro,110653,6.7,23941.82,45.5,1617,21.6,210,12.86,49.76,59.26,39.03
Vitória,131215,7.9,8282.19,46.04,810,19.39,114,25.16,40.93,46.95,36.18
